80 END
81 FOR
82 NEXT
83 DATA
84 DIM
85 READ
86
87 GO
88 RUN
89 IF
8A RESTORE
8B RETURN
8C REM
8D '
8E STOP
8F ELSE
90 TRON
91 TROFF
92 DEFSTR
93 DEFINT
94 DEFSNG
95
96 ON
97 TUNE
98 ERROR
99 RESUME
9A AUTO
9B DELETE
9C LOCATE
9D CLS
9E CONSOLE
9F PSET
A0 MOTOR
A1 SKIPF
A2 EXEC
A3 BEEP
A4 COLOR
A5 LINE
A6 BOX
A7
A8 ATTRB
A9 DEF
AA POKE
AB PRINT
AC CONT
AD LIST
AE CLEAR
AF DOS
B0
B1 NEW
B2 SAVE
B3 LOAD
B4 MERGE
B5 OPEN
B6 CLOSE
B7 INPEN
B8 PEN
B9 PLAY
BA TAB(
BB TO
BC SUB
BD FN
BE SPC(
BF USING
C0 USR
C1 ERL
C2 ERR
C3 OFF
C4 THEN
C5 NOT
C6 STEP
C7 +
C8 -
C9 *
CA /
CB ^
CC AND
CD OR
CE XOR
CF EQV
D0 IMP
D1 MOD
D2 @
D3 >
D4 =
D5 <
FF80 SGN
FF81 INT
FF82 ABS
FF83 FRE
FF84 SQR
FF85 LOG
FF86 EXP
FF87 COS
FF88 SIN
FF89 TAN
FF8A PEEK
FF8B LEN
FF8C STR$
FF8D VAL
FF8E ASC
FF8F CHR$
FF90 EOF
FF91 CINT
FF92
FF93
FF94 FIX
FF95 HEX$
FF96
FF97 STICK
FF98 STRIG
FF99 GR$
FF9A LEFT$
FF9B RIGHT$
FR9C MID$
FF9D INSTR
FF9E VARPTR
FF9F RND
FFA0 INKEY$
FFA1 INPUT
FFA2 CSRLIN
FFA3 POINT
FFA4 SCREEN
FFA5 POS
FFA6 PTRIG
